id,sentence,difficulty
,"susceptible. n'aime pas n'aime reproches, elle est susceptible.",B1
,"Aussitôt installés derrière nos pupitres, la commençâmes la discussion thématique inscrite à l'ordre à jour.",C2
,"Quelque chose qui nous a rapproché c'est que toutes l'ordinaire. deux on était assez rebelles et assez euh, on aimait bien faire des choses qui sortaient un un de l'ordinaire.",A1
,Il paraît qu'on mange bien : l'une des est l'une l'île est le fromage de chèvre.,A2
,"Pourfendeur des sciences et des arts, fossoyeur de la propriété privée, la de la monarchie, ce bonhomme, qui égratigne au passage les médecins, les femmes, les Anglais, de lettres et les Anglais, sent le fagot.",C2
,"Je vais à l'école à Nice, mais j'habite à vais",A1
,"Que Céline, au début est Voyage au bout de la nuit, puisse affirmer que son voyage que entièrement imaginaire, cela est judicieux",C2
,Je un mode un magazine de mode américain,A1
,Le massacre est commémoré sur le ville de la ville de Chicago par sa première étoile ville,B1
,"Bonjour Anne, retard. aussi Bon Année retard. retard.",A2
,des a déjà inventé une machine à enlever la peau des bananes déjà,A2
,"et cinquantaine est un bel âge: on gagne en profondeur et en bienveillance, bel Philippe Wattier.",C1
,fini. fini.,A1
,"Dès sa mise sous manipuler, un ordinateur exécute, l'une après l'autre, des instructions qui lui font lire, manipuler, puis réécrire un ensemble de données déterminées par une mémoire morte d'amorçage.",C2
,"""Si j'étais parent d'un collégien, de lui conseillerais de lire cet été Le Bizarre Incident du chien pendant la nuit, de Mark Haddon (Nil et Pocket Jeunesse), de jouer au Triolet (Editions Tilsit), qui est une sorte de la des nombres, deux nouveautés intéressantes",C2
,Les vélos furent que par les vélomoteurs et des motocyclettes plus commodes et moins chères que les automobiles.,B2
,"Non, c'est en c'est de la facilité la la chanson.",A2
4215.0,"Contrairement aux autres lanceurs privés, passés ou encore opérationnels, le Falcon 1 utilise des composants entièrement conçus au sein de la société qui le commercialise.",C1
3303.0,"Accusé de vol, l'homme a fini par avouer qu'il était coupable.",B1
3570.0,Il y a essentiellement trois grandes catégories.,B2
,"Je dirais qu'Andy Warhol est l'artiste le plus complexe, années. et de de ces soixante dernières années.",B2
,Il téléchargement téléchargement difficile de lutter contre le téléchargement illégal.,B2
,"de étaient groupés autour du trône, et ils demandaient tous à la fois : ""Est-il temps, ô mon roi, est-il temps ?"" Le roi des serpents resta immobile encore quelques minutes, puis il dit: ""Il est temps !"" En disant ces En il descendit de son trône, et se dirigea vers le rocher, suivi de tous les autres serpents.",A2
,"Il se réveilla seulement quand il entendit un bruit étrange, et quand il et les yeux, il quand que tous les serpents étaient réveillés.",B1
,Vous allâtes dans tout contrée lointaine pour tout oublier de vos dont passées dont seul le commun des mortels ignore.,C2
,Un service précieux qui a des doute a de sauver des vies,A2
