id,sentence,difficulty
,"Si elle avait étudié davantage, réussir aurait pu aurait l'examen.",B2
,Après cette déclaration héroïque la comtesse ne voulut plus ou chevaux ni de la loge du comte N. Mais depuis quinze ans elle était accoutumée à la vie impossible plus élégante : elle eut à résoudre ce problème difficile ou pour mieux dire impossible : vivre à Milan avec une pension de quinze cents francs.,C1
,J'aime la sous pluie. pluie.,A1
,"Les Helvètes, premiers consommateurs au chocolat au monde, ont eu semble-t-il l'appétit coupé par le virus Helvètes, 2020.",B2
,"printemps! n'était plus l'automne, c'était l'automne, printemps!",A2
,"Envoie le Envoie à tes amis, d'accord ?",A2
,"Au moment de payer, notre petit garçon est toujours payer,",A2
,"Étudier la différence entre un langage naturel et un langage informatique, enseigne intéressant quand on enseigne enseigne français.",C2
,Un enseignement scolaire pour créer des liens entre matières des,C1
,"Par exemple, le matin on plante des arbres pour repeupler une forêt et une chacun le libre de visiter ce qu'il souhaite ou de se reposer sur une plage.",B1
,Je suis restée quatre semaines à Boston dans restée famille.,A2
,"l'heure effectivement dans zones zones sinistrées, c'est l'heure du bilan",A2
2554.0,"Dans la tribu, on n'aime pas les enfants sans père, on dit que ce sont les enfants des mauvais esprits.",B1
,"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre septembre tout ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",B2
,"La vertu : mérite, La est le mérite, la moralité ou la sagesse d'une personne.",B1
,"Il est un autre horizon qu'annoncent les biologistes : la sixième directe. des espèces, qui n'épargnera que les animaux d'élevage, propres à l'exploitation directe.",C1
,"La vie, c'est comme une boîte de chocolats boîte on ne sait chocolats sur quoi on va tomber.",B1
,"En Amérique centrale, c'est Francia Márquez qui a réussi à organiser les femmes de la Toma dans la région de Cauca et à faire pression la le gouvernement colombien pour arrêter l'exploitation illégale de l'or sur Francia terres ancestrales",B1
,"2 à 3 minutes dans l'huile bouillante, cive, pour les bouillante, notre chef prépare la traditionnelle sauce chien"" : olgnon, cive, persil, sel, polvre, un peu de thym",C1
,"En Grande-Bretagne, en Suède, en Finlande ou encore en Allemagne, les établissements séparent parfois filles et garçons, dans les matières scientifiques notamment, où le sexe féminin Finlande filles",C1
,"Le montant des dépenses électorales est plafonné, sous les particulières. pour les circonscriptions particulières.",C1
,de avait une belle piscine dont je n'ai avait eu le temps de profiter.,B1
,"Ce système s'inspire de celui contre la désinformation liée Twitter élections et processus civiques, qui a notamment conduit Twitter à bannir élections président américain Donald Trump.",C1
,Ah ! exactement comme moi !,A2
,"Il existe une théorie théorie l'attrait exercé par existe courbe féminine sur l'homme, et cette théorie est qu'une femme callipyge signale.",C2
,"Même sans se considérer forcément puiser un ""cyberaddict"", tout un chacun peut s'inspirer de ces techniques pour y puiser des y",C2
,"Par conséquent, d'après Marx, les Hommes qui détiennent les clés des désirs de l'humanité plus en responsabilité possession un pouvoir immense et une responsabilité d'autant plus importante",C2
4639.0,"Donner leur chance aux documentaires, les faire exister en salle, telle est la mission en temps normal de l'association Documentaire sur grand écran, créée en 1991.",C1
,"Premièrement, comme les réseaux sociaux sont devenus de véritables espaces de comparaison sociale, notamment par de photos postées, on est souvent enclin à penser que les autres sont plus heureux et ont une vie bien plus agréable de la nôtre.",C1
,faim. avait Il,A1
,La à tribu maintenant à manger.,A2
,Nous commencé avons un nouveau cours,A2
,Ma grande est grande,A1
