id,sentence,difficulty
0,Le chat dort sur le sofa.,A1
1,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
2,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
3,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
4,Le chat dort sur le sofa.,A1
5,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
6,Elle mange souvent des fruits au petit déjeuner.,C1
7,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
8,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
9,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
10,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
11,Elle mange souvent des fruits au petit déjeuner.,C1
12,"Quand j'étais petit, j'allais à l'école à pied.",C1
13,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
14,Le chat dort sur le sofa.,C1
15,Le chat dort sur le sofa.,C1
16,Le chat dort sur le sofa.,C1
17,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
18,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
19,Elle mange souvent des fruits au petit déjeuner.,C1
20,Elle mange souvent des fruits au petit déjeuner.,C1
21,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
22,Elle mange souvent des fruits au petit déjeuner.,A1
23,"Quand j'étais petit, j'allais à l'école à pied.",C1
24,"Quand j'étais petit, j'allais à l'école à pied.",A1
25,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
26,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
27,Le chat dort sur le sofa.,C1
28,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
29,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
30,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
31,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
32,"Quand j'étais petit, j'allais à l'école à pied.",A1
33,"Quand j'étais petit, j'allais à l'école à pied.",C1
34,"Quand j'étais petit, j'allais à l'école à pied.",A1
35,"Quand j'étais petit, j'allais à l'école à pied.",C1
36,Elle mange souvent des fruits au petit déjeuner.,A1
37,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
