id,sentence,difficulty
0,Elle mange souvent des fruits au petit déjeuner.,B1
1,Le chat dort sur le sofa.,A1
2,Elle mange souvent des fruits au petit déjeuner.,A2
3,"Quand j'étais petit, j'allais à l'école à pied.",B1
4,Elle mange souvent des fruits au petit déjeuner.,C1
5,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
6,Elle mange souvent des fruits au petit déjeuner.,C1
7,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
8,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
9,"Quand j'étais petit, j'allais à l'école à pied.",C1
10,Elle mange souvent des fruits au petit déjeuner.,B1
11,Elle mange souvent des fruits au petit déjeuner.,A2
12,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
13,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
14,Le chat dort sur le sofa.,B1
15,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
16,"Quand j'étais petit, j'allais à l'école à pied.",A1
17,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
18,Elle mange souvent des fruits au petit déjeuner.,A1
19,Le chat dort sur le sofa.,B1
20,"Quand j'étais petit, j'allais à l'école à pied.",A2
21,Elle mange souvent des fruits au petit déjeuner.,B2
22,Elle mange souvent des fruits au petit déjeuner.,B1
23,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
24,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
25,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
26,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
27,Elle mange souvent des fruits au petit déjeuner.,A2
28,Elle mange souvent des fruits au petit déjeuner.,B1
29,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
30,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
31,Elle mange souvent des fruits au petit déjeuner.,C1
32,"Quand j'étais petit, j'allais à l'école à pied.",A2
33,Elle mange souvent des fruits au petit déjeuner.,A2
34,"Quand j'étais petit, j'allais à l'école à pied.",B1
35,"Quand j'étais petit, j'allais à l'école à pied.",B2
36,Elle mange souvent des fruits au petit déjeuner.,B1
37,Le chat dort sur le sofa.,C1
38,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
39,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
40,Elle mange souvent des fruits au petit déjeuner.,B1
41,"Quand j'étais petit, j'allais à l'école à pied.",C1
42,Elle mange souvent des fruits au petit déjeuner.,C1
43,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
44,"Quand j'étais petit, j'allais à l'école à pied.",A1
45,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
46,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
47,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
48,Le chat dort sur le sofa.,B1
49,"Quand j'étais petit, j'allais à l'école à pied.",B2
50,"Quand j'étais petit, j'allais à l'école à pied.",B1
51,Le chat dort sur le sofa.,B2
52,"Quand j'étais petit, j'allais à l'école à pied.",B2
53,Le chat dort sur le sofa.,C1
